Number of Hidden Nodes, Learning Rate, Activation Function, RMSE (1), RMSE (2), RMSE (3), RMSE (Average)
4, 0.5, RELU, 47.97028603789447, 44.21169020581766, 59.31873376644187, 50.50023667005133
5, 0.05, SIGMOID, 50.58240278324501, 52.154288910655744, 51.233582332130794, 51.32342467534385
5, 0.05, TANH, 34.04575527383662, 34.10074690142395, 33.98942817614965, 34.045310117136744
5, 0.05, RELU, 38.128051947965965, 48.863793915746825, 50.88022271531045, 45.95735619300775
5, 0.1, SIGMOID, 32.93709428206082, 33.37774949332088, 33.33477039546606, 33.21653805694925
5, 0.1, TANH, 35.545420152102984, 35.17050982611654, 35.790285688932315, 35.50207188905061
5, 0.1, RELU, 36.74302361096176, 49.5428349941958, 37.75308231016855, 41.346313638442034
5, 0.15, SIGMOID, 33.22744524388568, 33.14550764399184, 33.50616988095043, 33.29304092294265
5, 0.15, TANH, 36.58844110606261, 36.7700244135001, 36.83872407934628, 36.732396532969666
5, 0.15, RELU, 37.64697839600022, 37.474816062321125, 38.89737985337685, 38.00639143723273
5, 0.2, SIGMOID, 33.44226752751926, 33.42979486156192, 34.64053242455246, 33.837531604544544
5, 0.2, TANH, 37.29977597121331, 37.78674457315943, 37.49914668518089, 37.52855574318455
5, 0.2, RELU, 58.66243899171502, 36.184677696588835, 38.22326135394037, 44.35679268074807
5, 0.25, SIGMOID, 34.92150928497789, 34.324586971198144, 34.86683796563189, 34.70431140726931
5, 0.25, TANH, 37.975409939171016, 37.863785629352996, 37.72839347667524, 37.85586301506642
5, 0.25, RELU, 49.09575570421165, 61.20276344363962, 52.924748578549725, 54.40775590880033
5, 0.3, SIGMOID, 34.71945617578783, 35.17296244747118, 35.29008690570493, 35.06083517632131
5, 0.3, TANH, 37.875486924115314, 38.155378514673956, 37.86425883612138, 37.96504142497022
5, 0.3, RELU, 42.31533273375256, 44.96272619427852, 41.81457361696623, 43.0308775149991
5, 0.35, SIGMOID, 34.23628679438725, 35.27482841006747, 34.52234313178948, 34.677819445414734
5, 0.35, TANH, 37.91929735686166, 37.87438716972514, 38.00847340255507, 37.93405264304729
5, 0.35, RELU, 41.84063821280905, 41.2004773037213, 42.60793879087686, 41.883018102469066
5, 0.4, SIGMOID, 33.642300409731504, 34.87267861628923, 34.26279873484997, 34.259259253623576
5, 0.4, TANH, 37.669222945869464, 37.60490678829407, 37.63225344649118, 37.63546106021824
5, 0.4, RELU, 38.85894649228309, 40.65374920089166, 45.34577347521735, 41.61948972279737
5, 0.45, SIGMOID, 33.611183797555256, 34.973580092696025, 33.8796122710684, 34.15479205377323
5, 0.45, TANH, 37.46439611531084, 37.50102414549485, 37.503160948772866, 37.48952706985952
5, 0.45, RELU, 56.73082903972913, 40.10506060559952, 42.88563661849359, 46.57384208794074
5, 0.5, SIGMOID, 34.746775661580365, 32.80745337747238, 35.1408729221536, 34.23170065373545
5, 0.5, TANH, 37.09289912735103, 36.80102005605996, 37.11232354478468, 37.00208090939856
5, 0.5, RELU, 41.57573255215836, 57.46795715791207, 61.38622928562025, 53.47663966523023
6, 0.05, SIGMOID, 52.18434806090931, 50.85563388947096, 52.039838004733724, 51.693273318371325
6, 0.05, TANH, 34.02338359870801, 34.70888853337867, 35.18584716588451, 34.63937309932373
6, 0.05, RELU, 35.87676725803431, 35.66283653655794, 38.92711378623644, 36.82223919360956
6, 0.1, SIGMOID, 33.997880145488445, 34.34963781362774, 35.237409955354735, 34.52830930482364
6, 0.1, TANH, 44.422343340246535, 35.9179191221021, 36.08172896682201, 38.80733047639021
6, 0.1, RELU, 48.57540692200097, 36.268056216827325, 36.0819480679837, 40.308470402270665
6, 0.15, SIGMOID, 34.77892069001247, 33.732107385310776, 34.03977204309369, 34.18360003947232
6, 0.15, TANH, 44.80102422203906, 36.0486791882136, 36.74242627165031, 39.197376560634325
6, 0.15, RELU, 35.70977318553742, 36.131952759085685, 37.67414100831112, 36.50528898431141
6, 0.2, SIGMOID, 33.28796060856309, 33.07904704923681, 34.19336808322053, 33.52012524700681
6, 0.2, TANH, 37.40588978038369, 37.4550962451555, 37.371506426132704, 37.41083081722397
6, 0.2, RELU, 36.93799618818537, 39.87198972022688, 38.22551843324508, 38.34516811388577
6, 0.25, SIGMOID, 35.0670498643027, 34.396446106697695, 34.57251927784315, 34.678671749614516
6, 0.25, TANH, 37.75292215803067, 37.75785606176643, 37.97127191558996, 37.827350045129016
6, 0.25, RELU, 36.70504720964722, 37.19992738231501, 37.89935250394428, 37.268109031968834
6, 0.3, SIGMOID, 34.32557884989224, 35.00029785975957, 34.36196507952593, 34.56261392972591
6, 0.3, TANH, 37.68578765666526, 37.855420399737305, 37.9284726942526, 37.823226916885055
6, 0.3, RELU, 65.86134997366919, 40.45986046182177, 42.45062359210888, 49.590611342533286
6, 0.35, SIGMOID, 35.005011053655586, 34.54010088202764, 34.061830896040064, 34.53564761057443
6, 0.35, TANH, 37.761710776317216, 37.96286719878854, 37.68040726044727, 37.80166174518434
6, 0.35, RELU, 39.20963596095523, 68.14700699329656, 45.25909907776219, 50.871914010671325
6, 0.4, SIGMOID, 35.08486032083799, 35.36704617945558, 34.604181825130745, 35.01869610847478
6, 0.4, TANH, 37.67835314994264, 37.60446834683589, 37.4878296993841, 37.59021706538754
6, 0.4, RELU, 40.990081096324104, 41.538757901371355, 40.04789590222863, 40.85891163330803
6, 0.45, SIGMOID, 35.27636957119484, 33.70430612378379, 34.04376080232382, 34.34147883243415
6, 0.45, TANH, 37.615659453556326, 37.47265398818026, 37.610458207242345, 37.56625721632631
6, 0.45, RELU, 42.93936605989518, 49.48974268800518, 55.976122211400025, 49.4684103197668
6, 0.5, SIGMOID, 35.291496607957434, 33.23950869898251, 33.97592945215018, 34.16897825303004
6, 0.5, TANH, 36.77260913825085, 37.10472969298306, 36.732220849441866, 36.86985322689193
6, 0.5, RELU, 43.17394651631662, 42.407185904585134, 48.140678117500606, 44.573936846134124
7, 0.05, SIGMOID, 51.04752464159844, 51.477312011414035, 51.15271024095553, 51.225848964655995
7, 0.05, TANH, 33.99199622711221, 34.19919308476648, 34.00424871749622, 34.06514600979164
7, 0.05, RELU, 38.17308264744769, 39.33537574370546, 38.4461942347658, 38.65155087530632
7, 0.1, SIGMOID, 33.0827520653397, 34.1656290854645, 35.17771327061408, 34.14203147380609
7, 0.1, TANH, 35.11167311154657, 35.493086362216495, 35.53182702848287, 35.37886216741531
7, 0.1, RELU, 39.35459097225934, 38.05756345514312, 39.10974107252976, 38.84063183331074
7, 0.15, SIGMOID, 35.23101084156906, 34.987310931424446, 34.90490364416552, 35.041075139053014
7, 0.15, TANH, 36.77359836258224, 36.81009637682169, 36.86200207810046, 36.81523227250147
7, 0.15, RELU, 61.04025700592657, 37.48882348846097, 36.455400946012894, 44.99482714680014
7, 0.2, SIGMOID, 34.60488420808989, 34.16061722710241, 33.60676848449206, 34.124089973228116
7, 0.2, TANH, 37.37074077606518, 37.577385799713696, 37.44596260370056, 37.46469639315981
7, 0.2, RELU, 44.54676752012665, 36.992657598642985, 36.95146182126279, 39.49696231334414
7, 0.25, SIGMOID, 34.01698056071619, 34.53857799783579, 33.53710171512942, 34.030886757893796
7, 0.25, TANH, 37.926363354608135, 38.35768204375378, 37.87066520960811, 38.05157020265668
7, 0.25, RELU, 36.812818683545686, 41.149930916496565, 36.77587358393828, 38.246207727993514
7, 0.3, SIGMOID, 35.543911046258216, 34.76663685072326, 33.2187528304692, 34.50976690915022
7, 0.3, TANH, 38.11755187018345, 37.81285725950848, 37.81919707762659, 37.91653540243951
7, 0.3, RELU, 64.88844604482757, 33.9379800618422, 49.21379038677533, 49.346738831148365
7, 0.35, SIGMOID, 34.923115401985235, 33.95743730609878, 35.39157466005247, 34.757375789378834
7, 0.35, TANH, 37.779880177986705, 37.958385654554775, 37.79601350930161, 37.84475978061437
7, 0.35, RELU, 41.15976953299663, 40.5934946632605, 37.19315603276197, 39.64880674300637
7, 0.4, SIGMOID, 33.87847646028312, 35.50015618778473, 34.55438734994295, 34.64433999933693
7, 0.4, TANH, 37.36867720238852, 37.40786874651559, 37.38620577138061, 37.38758390676157
7, 0.4, RELU, 59.851545732677295, 39.86079131587248, 40.90661496494554, 46.87298400449844
7, 0.45, SIGMOID, 34.457655672663634, 35.426458564998576, 34.5565876914519, 34.8135673097047
7, 0.45, TANH, 37.25893995330012, 37.17358361222058, 37.2322035699954, 37.2215757118387
7, 0.45, RELU, 43.40540336430684, 46.7544270063013, 42.16921577094714, 44.109682047185096
7, 0.5, SIGMOID, 34.431137625627144, 35.120712153565826, 35.21166443599076, 34.921171405061244
7, 0.5, TANH, 36.73483310321408, 37.02353388580775, 37.07213782274206, 36.9435016039213
7, 0.5, RELU, 51.9645246416491, 42.52160519641707, 47.17980136070716, 47.22197706625778
8, 0.05, SIGMOID, 52.102595152034354, 50.83415850727221, 52.19174155180239, 51.70949840370298
8, 0.05, TANH, 34.10466597395108, 34.21667969697388, 34.058193843497996, 34.12651317147432
8, 0.05, RELU, 38.52315591747654, 50.933757504803296, 35.442783325573814, 41.633232249284546
8, 0.1, SIGMOID, 33.56126500439949, 33.074993390962945, 35.8994991374127, 34.17858584425838
8, 0.1, TANH, 35.48596689926512, 35.16327476805713, 35.39932675641968, 35.34952280791398
8, 0.1, RELU, 37.444721421571266, 53.52467559752244, 38.0534330403943, 43.007610019829336
8, 0.15, SIGMOID, 33.44550611302963, 35.23894088686761, 33.65243247223099, 34.11229315737608
8, 0.15, TANH, 37.07570655976994, 36.4989446951922, 36.80722591264692, 36.793959055869685
8, 0.15, RELU, 35.476938927897685, 35.33927965956208, 40.994068141592955, 37.270095576350904
8, 0.2, SIGMOID, 34.189814352285325, 34.881008324430844, 33.67249664365824, 34.24777310679147
8, 0.2, TANH, 37.47306232198246, 37.628284136578834, 37.40618625494334, 37.50251090450155
8, 0.2, RELU, 39.10351552133025, 38.777815879084024, 34.59720758885907, 37.49284632975778
