500, 0.19997655503056264
1000, 0.1999362834752114
1500, 0.1998269002730639
2000, 0.1995302016002394
2500, 0.1987283583243859
3000, 0.19658262010720262
3500, 0.19098908409626233
4000, 0.17735144481579768
4500, 0.14890112993970095
5000, 0.105
5500, 0.06109887006029907
6000, 0.03264855518420236
6500, 0.01901091590373766
7000, 0.013417379892797395
7500, 0.0112716416756141
8000, 0.010469798399760585
8500, 0.010173099726936115
9000, 0.01006371652478861
9500, 0.0100234449694374
10000, 0.010008625595053455
