Number of Hidden Nodes, Learning Rate, Improvements, Activation Function, RMSE (1), RMSE (2), RMSE (3), RMSE (Average)
4, 0.05, SIGMOID, , 49.65052730380491, 51.53800021584819, 49.145328691057685, 50.111285403570264
4, 0.05, SIGMOID, MOMENTUM, 32.97610776954351, 32.97901783628226, 47.95696497683337, 37.970696860886385
4, 0.05, SIGMOID, MOMENTUM - BOLD_DRIVER, 34.6604081073623, 49.19342004199828, 33.469015818456846, 39.10761465593914
4, 0.05, SIGMOID, BOLD_DRIVER, 49.408718365349095, 50.80349318565269, 51.305592073735305, 50.50593454157903
4, 0.05, TANH, , 34.77764729813584, 33.91365006925767, 34.014617740692906, 34.2353050360288
4, 0.05, TANH, MOMENTUM, 35.45886847244634, 35.907094499131226, 39.30339363167781, 36.88978553441846
4, 0.05, TANH, MOMENTUM - BOLD_DRIVER, 36.064153481932976, 36.38364681612858, 36.21950053618648, 36.222433611416015
4, 0.05, TANH, BOLD_DRIVER, 35.65500620859464, 35.23650376731813, 34.90625310160405, 35.26592102583894
4, 0.05, RELU, , 51.483380494323484, 52.09197511762582, 47.451901583715376, 50.342419065221556
4, 0.05, RELU, MOMENTUM, 52.97773614306008, 40.14639508454836, 52.98392430791742, 48.702685178508624
4, 0.05, RELU, MOMENTUM - BOLD_DRIVER, 38.46257530767472, 53.56101912858809, 38.768963203807665, 43.597519213356826
4, 0.05, RELU, BOLD_DRIVER, 40.15964742145206, 58.93742991677686, 40.44914205920766, 46.51540646581219
4, 0.1, SIGMOID, , 33.637603965115, 47.10258416379297, 34.5941934043036, 38.444793844403854
4, 0.1, SIGMOID, MOMENTUM, 33.24544138497628, 33.27605051430778, 32.2948884828931, 32.93879346072572
4, 0.1, SIGMOID, MOMENTUM - BOLD_DRIVER, 34.497718993268315, 33.85040928379398, 33.82260876336982, 34.05691234681071
4, 0.1, SIGMOID, BOLD_DRIVER, 33.89153277042452, 33.606722166301836, 33.38883813249122, 33.62903102307252
4, 0.1, TANH, , 35.9953191540941, 35.31416978437436, 35.678483072015865, 35.66265733682811
4, 0.1, TANH, MOMENTUM, 36.97376185202313, 37.48600386248716, 37.677143636714156, 37.37896978374149
4, 0.1, TANH, MOMENTUM - BOLD_DRIVER, 37.9844312857131, 38.062071603446206, 37.86129568117231, 37.96926619011054
4, 0.1, TANH, BOLD_DRIVER, 36.75215538167347, 36.07397258810421, 36.25884083506295, 36.36165626828021
4, 0.1, RELU, , 53.46076774094117, 53.096216684150164, 36.97957391517719, 47.84551944675618
4, 0.1, RELU, MOMENTUM, 39.74676517023997, 58.06346304894374, 36.125053847530054, 44.64509402223791
4, 0.1, RELU, MOMENTUM - BOLD_DRIVER, 38.45088994949735, 49.534758826627105, 37.758768581859286, 41.91480578599458
4, 0.1, RELU, BOLD_DRIVER, 35.19048388902023, 53.806384538930565, 38.05081680481086, 42.34922841092055
4, 0.15, SIGMOID, , 34.443098854720475, 33.311327521165296, 33.85756081160884, 33.87066239583154
